input,response
A monster has taken our home and our brother. We have to go back to Winterfell and save them both.,SNOW nods.
Until today. Varys was right. I was wrong. It was vanity to think I could guide her. Our queen's nature is fire and blood.,"You think our house words are stamped on our bodies when we're born and that's who we are? Then I'd be fire and blood too. She's not her father, no more than you're Tywin Lannister."
Prince Porkchop. Where is he?,He wasn't hungry.
Certainly. And keep a fire burning in his chambers.,Do you take me for a servant?
Your old blind man patched me up. Why?,"He's sworn to treat all wounded men, friend or foe."
I know which end to use.,"I'm going to miss you... Careful... All the best swords have names, you know."
Ned Umber.,Alys Karstark.
"Beat the white walkers? Good luck with that. Run from them, maybe.",It's not a trick. It's a gift for those who join us.
Which three?,Castle Black.
"I heard they get all swollen and bruised if you don't use them. Of course, maybe that's just what the lads say when they want me feeling sorry for them. As if I'd feel sorry for them. Are there no girl crows?","There are no women of the Night's Watch, no."
That amuses you?,"I apologize, Your Grace. Northerners can be a bit like the free folk. Loyal to their own."
We had to travel around them to get here. Whoever's not here now is with them.,How long do we have?
nods to JON. JON turns and walks to the head of the boat. The men take hold of it.,Heave!
"Ahem, brothers.","I'm going beyond the Wallto Craster's Keep. I'm going to capture the mutineers holed up there or kill them. I'm asking for volunteers to come with me. There's 60 miles of wilderness between here and Craster's and Mance Rayder has an army bearing down on us, but we have to do this. Our survival may depend on us getting to these mutineers before Mance does. They know the Wall. They know our defenses. If Mance learns what they know, we're lost. But if that's not enough, then consider this. If the Night's Watch are truly brothers, then Lord Commander Mormont was our father. He lived and died for the Watch and he was betrayed by his own men. Stabbed in the back by cowards. He deserved far better. All we can give him now is justice. Who will join me?"
Why not? Because I'm fat? But I like girls just as much as you do. They might not like me as much. I've never... been with one. You've probably had hundreds.,"As a matter of fact, I'm the same as you."
Oh no. So why exactly did you not make love to Ros with the perfect...,What's my name?
Your doing?,No.
I like red hair. And her... Her...,You don't want to know.
All I've ever wanted. The right ruler on the Iron Throne. I still don't know how her coin has landed. But I'm quite certain about yours.,I don't want it. I never have.
"Then I've enjoyed your company, Jon Snow.",What do I hold onto?
He plays with people. He's far better at it than you. He's been doing it all his life.,"Aye, and what have I been doing all my life? Playing with broomsticks? I fought beyond the Wall against worse than Ramsay Bolton. I've defended the Wall from worse than Ramsay Bolton."
Who's that?,Lyanna Stark.
It's Dragonglass. It's what I used to kill the White Walker. I hope you don't need them.,Me too.
"As far as I can see, you are the enemy to the north.",I am not your enemy. The dead are the enemy.
"You'd bring wildlings here, through our gates?","Men, women, and children will die by the thousands if we do nothing."
"I believe you. We'll go hunting for rabbits one day. Right now, watch and learn.","You two. Take it slow, try and disarm each other."
I shouldo ve thrown you from the top of your wall boy!,"Aye, you shouldo ve."
"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",You did well.
Mance is different.,You don't have the discipline. You don't have the training. Your army is no army. You don't know how to fight together.
faces JON and grunts.,Ever been north before?
You think he's going to fall into your trap. He won't He's the one who lays traps.,He's overconfident.
"lt was my father's sword, his father before him. The Mormonts have carried it for five centuries. lt was meant for my son Jorah. He brought dishonor to our House, but he had the grace to leave the sword before he fled from Westeros.","My lord, you honor me, but l can't –"
Now listen to me. The old man is the Lord Commander of The Night's Watch.,"I just, I always wanted to be a Ranger."
"You can't leave, they'll execute you.","Good, good, pivot! Don't forget to pivot! Shield up!"
I wouldn't say we took your ship.,I'm not playing word games with you. The dead are coming for us all.
How's he keep folks from stealing them?,The Watch protects him.
"The Lord of Light made us male and female. Two parts of a greater whole. We are joining this power. Power to make life, power to make light, and power to cast shadows.",I don't think Stannis would like that very much.
"I know, I'm sorry, but we need men and supplies. And Roose Bolton is the Warden of The North.",He murdered my brother.
Did he hurt you?,I've had worse.
You were trembling like a leaf.,Only in the beginning.
I ask your leave to execute this woman for murder. She admits to the crime.,Do you have anything to say for yourself?
"Well, I stole it. It's mine. If you want it, come steal it back.",Ygritte! Ygritte!
"I lost my father, my uncle, and 2 brothers fighting the damn crows.","I'm not asking you to forget your dead. I'll never forget mine. I lost 50 brothers the night that Mance attacked the wall. But I'm asking you to think about your children now. They'll never have children of their own if we don't band together. The Long Night is coming and the dead come with it. No clan can stop them. The free folk can't stop them. The Night's Watch can't stop them. And all the southern kings can't stop them. Only together, all of us, and even then it might not be enough, but at least then we'll give the fuckers a fight."
Jon Snow.,Your Grace.
I do not know. I must go.,Get your shield up.
"This is Gilly, she's one of Craster's daughters.","Hello, Gilly. What're you doing?"
He didn't. He loved her.,"They were married in secret. After Rhaegar fell on the Trident, she had a son. Robert would have murdered the baby if he ever found out, and Lyanna knew it. So the last thing she did, as she bled to death on her birthing bed, was give the boy to her brother, Ned Stark, to raise as his bastard."
I believe he's calling all of us children. Figure of speech.,"Your Grace, everone you know will die before winter is over if we don't defeat the enemy to the north."
Where will we go?,"I can't stay here, not after what happened"
"Oh, it hurts, boy. Oh, yes. l know.","You do not know. No one knows. l may be a bastard, but he is my father and Robb is my brother."
"My father was an evil man. My sister was an evil woman. Pile up all the bodies of all the people they ever killed, there still won't be half as many as our beautiful queen slaughtered in a single day.",Cersei left her no choice.
Then we shouldn't tell him. .,I can't.
"Well, how could you understand?",You want to protect your people.
What are you doing here?,"Hey, what happened?"
How far are we?,"About a week, I think."
And why would I do that?,"I mean no offense, Your Grace, but I don't know you. As far as I can tell your claim to the throne rests entirely on your father's name. And my own father fought to overthrow the Mad King. The lords of the north placed their trust in me to lead them. And I will continue to do so as well as I can."
"I'm sorry, Bran.",Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
You're as stubborn as your father. And as honorable.,I can imagine no higher praise.
"Smart people don't come up here looking for the dead. So, you met this Dragon Queen, huh? And?",She'll only fight beside us if I bend the knee.
We start again at first light. Get some sleep.,Stop moving.
"Your name is Jon Snow, but your father's name was Ned Stark?",I'm a bastard. My mother and father weren't married.
New moon tonight.,Get some rest. We move at sundown.
What color hair?,Red.
I should never have left her there.,You couldn't have known.
We'll take it back from them,I don't have an army
I'll come back.,To your return.
"He's now Hand of the Queen to Daenerys Targaryen. She intends to take the Iron Throne from Cersei Lannister. She has a powerful army at her back and if this message is to be believed, three dragons.",Lord Tyrion has invited me to Dragonstone to meet with Daenerys and I'm going to accept.
leads DAENERYS and MISSANDEI into the cave. He lights a brazier and illuminates the Dragonglass along the walls. He continues walking deeper into the cave.,"So this is it, all we'll ever need."
But… you killed a White Walker.,With Longclaw. I saw them shatter steel axes like they were glass. But Longclaw…
He was my brother once. Back when he had a whole hand. What were you doing with him?,The Lord Commander sent me to the Halfhand for seasoning.
"Kullback, could I trouble you for something to eat? I don't imagine our guest has eaten anything in quite some time. So. You're here to strike a bargain?",Turn your army around and go home.
So you don't like girls?,Of course I like girls.
She shouldn't be.,That's treason.
"Do you think we can beat the Army of the Dead without her? I fought them, Sansa. Twice. You want to worry about who holds what title, I'm telling you it doesn't matter. Without her, we don't stand a chance.",Do you have any faith in me at all?
You're very brave.,What're you doing?
I don't want Cersei to murder me either. I could have stayed in my cell and saved a great deal of trouble.,I did this. I should go.
It wasn't.,"I went to save them, I failed."
"Mance is gonna march on the Wall. When he does, one brother inside his army will be worth a thousand fighting against it.",They'll never trust me.
The dragons should give us an edge in the field.,"If they're in the field, they're not protecting Bran. We need to be near him. Not too near, or the Night King won't come. But close enough to pursue him when he does."
I'm pleased you bent the knee to our queen,I'm not going to swear an oath I can't uphold. Talk about my father.
Doesn't stop. Doesn't feel.,We can't beat them in a straight fight.
King of the North!,"You did, my lady. It was the honor of my life. I'll always be grateful for your faith. But when I left Winterfell, I told you we need allies or we will die. I have brought those allies home to fight alongside us. I had a choice, keep my crown or protect the North. I chose the North."
"So you think. Wild creatures have their own rules, their own reasons. And you'll never know them. Now the wildlings we're looking for sleep during the day and hunt at night.",I thought you said you couldn't know wild things.
Try telling Sansa.,Wait for me outside the city gates. I'll come find you.
"You were at the Fist of the First Men. If we abandon them, you know what they become. We can learn to live with the wildlings or we can add them to the army of the dead. Whatever they are now, they're better than that.","Thank you. . Olly. . If you have something you want to say to me, say it. It's all right."
Good. Because l want you and your wolf with us when we ride out beyond the Wall tomorrow.,Beyond the Wall?
Very carefully.,I'm glad the end of the worldo s working out for someone.
You didn't tell me you were going to abandon your crown.,"I never wanted a crown. All I wanted was to protect the North. I brought two armies home with me, two dragons."
I met yours in my shop.,You're a lot leaner.
But they lost their king.,Ned Stark's daughter will speak for them. She's the best they could ask for.
There are no direwolves south of the Wall.,Now there are five.
The enemy always wins. And we still need to fight him. That's all I know. You and I wont find much joy while we're here. But we can keep others alive. We can defend those who can't defend themselves.,I am the shield that guards the realms of men.
"I can't steal her, she's a person not a goat.","We're heading deeper and deeper into wildling territory. We can't take a girl with us. Mormont wouldn't have it. And even if he would, what would we do with her? Who's gonna deliver her baby? You?"
"The Boltons are defeated. The war is over. Winter has come. If the maesters are right, it'll be the coldest one in a thousand years. We should ride home and wait out the coming storms.","The war is not over. And I promise you, friend, the true enemy won't wait out the storm. He brings the storm."
I should neverhave taken her away.,She wasn't safe here.
The king is a complicated man. But he wants what's right for the Seven Kingdoms.,As long as he's ruling them.
I made it like the one Father used to wear. As near as I can remember.,"Thank you, Sansa."
It's nice and wet and warm.,Enough!
A bastard son of a traitor. What would you expect?,The Halfhand believed our only chance to stop Mance was to get a man inside his army.
Lord Commander. It's one of the wildlings you brought back. Says he knows your Uncle Benjen. Says he's still alive.,Are you sure he's talking about Benjen?
"You spent too much time with us, Jon Snow. You can never be a kneeler again.",We're gonna burn the bodies of your dead. Do you want to say any words over them?
"I gave up my crown, Sam.",I bent the knee. I'm not King in the North anymore.
"Lord Commander, it is my duty to tell you I believe this mission to be reckless, foolhardy, and an insult to all of the Brothers that have died fighting the wildlings.","As always, thank you for your honesty."
The witch who murdered my husband.,Has it occurred to you she might not have been a reliable source of information?
"And did you see the Dothraki, all of whom have sworn to kill for me?",They're hard to miss.
I don't know! I don't know anything about battles! Just don't do what he wants you to do.,"Aye, that's good advice."
I received this a few days ago from Dragonstone. It was sent to me by Tyrion Lannister.,"He's now Hand of the Queen to Daenerys Targaryen. She intends to take the Iron Throne from Cersei Lannister. She has a powerful army at her back and if this message is to be believed, three dragons."
You think that's obvious?,"Well, it is a bit obvious."
"A disgrace! I have friends, important friends in the capital! You'll see!","If you have any last words, my Lord, now is the time."
"Could have been worse, Jon Snow. You had a family. You had feasts.","Aye, you're right. I was luckier than most."
I came to kill Cersei. Your queen got there first.,She's everyone's queen now.
It's not enough!,"Now, it's not enough! It's what we have! Battles have been won against greater odds."
If…?,If you swear you join us when the real war begins.
"To the traitor and bastard Jon Snow. You allowed thousands of wildlings past the Wall. You have betrayed your own kind. You have betrayed the North. Winterfell is mine, bastard. Come and see. Your brother Rickon is in my dungeon.",SNOW looks at SANSA.
She betrayed your trust. She killed Varys as much as I did. This was a victory for her. Now she knows what happens when people hear the truth about you. Far more people in Westeros love you than love me. I don't have love here. I only have fear.,I love you. And you will always be my queen.
Ygritte.,Ygritte.
So I can't question your decisions anymore?,"Of course you can, but--"
We both want to help people. We can only help them from a position of strength. Sometimes strength is terrible. When you first came here Ser Davos said you took a knife in the heart for your people.,Ser Davos gets carried away.
Only eighteen goats and eleven sheep.,What's the matter?
"He's not here yet. He'd have seen us, blown the horn.",When will he come?
They might. If you do what needs to be done.,What?
You think highly of this boy.,Good.
"reaches forward and takes JORAH by his hands. JON SNOW, DAVOS and GENDRY exit the cave and walk towards the boats. JORAH bends and kisses DAENERY's hand. He turns and continues readying the boat. JON stands in front of DAENERYS.",If I don't return at least you won't have to deal with the King in the North anymore.
But you chose never to touch them.,That's the price you pay if you want to be a man of the Night's Watch.
"A million, give or take.",That's more people than the entire North crammed into that. Why would anyone want to live that way?
You didn't know where to put it?,I know where to put it.
I know it sounds a bit mad.,"No it doesn't sound a bit mad, it's impossible."
What's fainting?,When a girl sees blood and collapses.
He's an old man. A spear through the heart's a better way to die than coughing up your last with no one but your horses to hear.,The Watch might send a few men looking for a horse thief. They'll send a lot more to hunt down murderers.
"I interpret his signs as well as I can. If the Lord didn't want me to bring you back, how did I bring you back? I have no power. Only what he gives me and he gave me you.",Why?
What do you want me to do with this?,Wear it Burn it Whatever you want You have Castle Black
You sure seemed like my enemy when you were killing my friends.,"For 8,000 years the Night's Watch have sworn an oath to be the shield that guards the realms of men. And for 8,000 years we've fallen short of that oath. You belong to the realms of men. All of you."
"What you see is a dwarf. If I'd been born a peasant they might've left me out in the woods to die. Alas, I was born a Lannister of Casterly Rock. Things are expected of me. My father was the Hand of the King for 20 years.",Until your brother killed that King.
"Oh, like a hundred-year-old man slowly freezing to death.","I need your advice. There's something I want to do, something I have to do. But it'll divide the Night's Watch. Bitterly. Half the men will hate me the moment I give the order."
l didn't say it was your honor.,They killed my father.
Is that another figure of speech?,The Army of the Dead is on the march.
"A Targaryen, alone in the world, is a terrible thing.",Maester Aemon.
"You were dead And now you're not That's completely fucking mad, seems to me I can only imagine how it seems to you",I did what I thought was right And I got murdered for it And now I'm back Why?
You don't know that.,"I do. I know it. If you attack the Wall, you'll die. All of you."
Archers! Knock your arrows! Draw! Loose!,They won't summit before dawn.
So should you ! My little girl has gone on. They're gonna let them pass the wall even if you're not there ?,You have my word. I've given orders.
"No, but I'm a fighter. And he won't be needing a smith with a sword like that.",Do you know how to use one?
Very well. . Have you considered my offer?,I have. And I thank you for it. You do me great honor. All my life I wanted to be Jon Stark.
Night's Watch with me! Move! Move! Move!,The Dragonglass!
But the things I've done.,"It's not my place to forgive you for all of it. But what I can forgive, I do. You don't need to choose. You're a Greyjoy and you're a Stark."
She didn't tell you.,I'm so sorry. We need to end this war.
"Your father gave me this sword. He changed the pommel from a bear to a wolf, but it's still Long Claw.",hands the sword to JORAH. JORAH slowly takes the sword and looks it over in his hands.
It's …,Go on. Father's watching.
I remember when you disobeyed orders and rode south to help Robb.,"And I remember who came after me and brought me home. I know how hard it is, Sam, believe me. When you told me about Bran going beyond the Wall, all I could think about was getting my strength back so I could go and find him."
You're pregnant.,No one is less happy about this than I am.
I'll offer them their lives and their freedom if Mance kneels before me and swears his loyalty.,I don't think that's likely.
The big woman?,smiles and shakes his head. TORMUND is disappointed.
"When I was Lord Commander of the Night's Watch I executed men who betrayed me. I executed men who refused to follow orders. My father always said, The man who passes the sentence should swing the sword, and I have tried to live by those words. But I will not punish a son for his father's sins, and I will not take a family home away from a family it has belonged to for centuries. That is my decision, and my decision is final.",Ned Umber.
"It's not a job for 400 men. I need to move fast and silent. Harker, Stonesnake, Borba.","Lord Commander, I'd like to join Lord Qhorin."
Your father was an honorable man.,"He was, your grace."
No.,Hyah!
is looking up at the walls of Dragonglass.,"There is something else I want to show your, Your Grace."
"Whoa, boy, whoa.",That's my Uncle Benjen's horse.
I can't.,You think anyone will dare tell you women aren't allowed?
"No, you don't. We're at war. We've always been at war. It's never going to end 'cause we're not fighting an enemy. We're fighting the North, and it's not going anywhere. The Watch has given you a great gift. You only have one thing to give in return, your life.",I'll gladly give my life.
Where is Mance?,He died.
Then she would give me a ship and wish me good fortune.,You believe that?
